"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.265012498E-2,3.112554753E-1,-1.695517123E-2,-3.371808600E-1,4.591931849E-1
4.264412494E-2,1.869977573E-1,1.437631524E-1,-4.615873897E-1,5.183617690E-1
5.263812514E-2,1.132868797E-2,2.247155142E-1,-3.864196783E-1,4.471527360E-1
6.263212510E-2,-3.928729579E-2,1.952280056E-1,-2.192822814E-1,2.962130732E-1
7.262612507E-2,4.702681661E-2,5.787690997E-2,5.616659939E-2,9.335922598E-2
8.262012503E-2,2.147584368E-1,-8.195048153E-2,2.750775826E-1,3.584755836E-1
9.261412499E-2,4.391108389E-1,-3.084125590E-1,5.011718702E-1,7.342410224E-1
1.026081250E-1,7.175638729E-1,-4.578217828E-1,5.042615390E-1,9.893322982E-1
1.126021249E-1,8.023444068E-1,-6.431954759E-1,1.867261541E-1,1.045142873E0
1.225961251E-1,6.319644365E-1,-7.793823910E-1,6.934213042E-3,1.003426153E0
1.325901251E-1,2.711226721E-1,-7.094029140E-1,-1.401472342E-1,7.722701891E-1
1.425841250E-1,-1.557559378E-2,-3.510878778E-1,-5.197163147E-1,6.273837301E-1
1.525781250E-1,-1.467575115E-1,-7.766681135E-2,-6.984253514E-1,7.178912677E-1
1.625721250E-1,-1.946605334E-1,4.491831064E-2,-7.185216469E-1,7.457772690E-1
1.725661249E-1,-1.961976202E-1,1.746732885E-1,-5.826539898E-1,6.391321739E-1
1.825601251E-1,-1.066144757E-1,1.510528761E-1,-2.479541034E-1,3.092973572E-1
1.925541251E-1,3.172026783E-2,-9.607033789E-2,1.862887824E-1,2.119886687E-1
2.025481251E-1,5.088678293E-2,-2.535194832E-1,7.953944063E-1,8.363694487E-1
2.125421250E-1,8.120985858E-2,-4.705236894E-1,1.125976099E0,1.223033016E0
2.225361250E-1,7.765862525E-2,-4.097986007E-1,9.261667997E-1,1.015751296E0
2.325301250E-1,-1.494769784E-1,-6.311484575E-2,1.198798492E0,1.209729174E0
2.425241251E-1,-2.202992584E-1,3.240363193E-1,1.598659165E0,1.645977650E0
2.525181251E-1,-9.245990150E-2,6.566762316E-1,1.295825434E0,1.455656574E0
2.625121251E-1,2.348234497E-2,9.845629424E-1,1.092054647E0,1.470543763E0
2.725061250E-1,5.903451249E-2,1.320681363E0,7.931169158E-1,1.541661046E0
2.825001250E-1,1.100155087E-1,1.337183960E0,5.431420147E-1,1.447469379E0
2.924941250E-1,4.521396048E-2,1.199759774E0,4.821532166E-1,1.293808155E0
3.024881249E-1,-1.098818998E-1,1.059155872E0,5.407528424E-1,1.194277535E0
3.124821251E-1,3.369604200E-2,6.125508034E-1,3.836545300E-1,7.235638938E-1
3.224761251E-1,3.740079398E-1,1.096656990E-1,-2.083819020E-1,4.419632583E-1
3.324701251E-1,5.557921004E-1,-2.027761763E-1,-5.643428493E-1,8.176220936E-1
3.424641250E-1,6.166424657E-1,-2.763628006E-1,-8.608025301E-1,1.094351554E0
3.524581250E-1,7.977343158E-1,-4.315204221E-1,-1.337365808E0,1.615901364E0
3.624521249E-1,1.079391551E0,-7.089374757E-1,-1.751982515E0,2.176492866E0
3.724461251E-1,1.368493461E0,-8.030185908E-1,-1.533020076E0,2.206300923E0
3.824391251E-1,1.429327016E0,-7.449224102E-1,-1.648303195E0,2.305382515E0
3.924328750E-1,1.330649989E0,-6.997626096E-1,-1.676318375E0,2.251741636E0
