"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.495720842E-2,-4.752616882E-1,4.890894762E-1,-1.351484495E0,1.513800690E0
2.495320840E-2,-7.290653461E-1,5.989104187E-1,-4.631041574E-1,1.051044923E0
3.494920838E-2,-9.414686707E-1,8.402378726E-1,7.812394667E-1,1.484148929E0
4.494420835E-2,-8.984542134E-1,1.043692326E0,1.709228259E0,2.194988584E0
5.494020833E-2,-6.962984267E-1,1.165261787E0,2.038694302E0,2.449273564E0
6.493620831E-2,-6.217698160E-1,8.445235893E-1,2.166924326E0,2.407359307E0
7.493120828E-2,-1.893128453E0,1.380219760E0,1.137516748E0,2.604397489E0
8.492720826E-2,-1.129458408E0,1.599801418E0,-8.107749224E-3,1.958342822E0
9.492320823E-2,-3.131640065E-1,1.525573062E0,1.363512218E-1,1.563341460E0
1.049182082E-1,-7.019909835E-1,9.890205672E-1,-1.281709671E-3,1.212829199E0
1.149142084E-1,-3.281872576E-1,5.492199031E-1,-2.275841582E-1,6.790757889E-1
1.249102084E-1,1.140572503E-1,1.857663336E-1,-5.784042335E-1,6.181178240E-1
1.349052084E-1,8.105405952E-1,-1.833271676E-1,-8.547477382E-1,1.192131957E0
1.449012083E-1,1.080793202E0,-6.691310933E-1,-3.698498386E-1,1.323872829E0
1.548972083E-1,5.733294350E-1,-1.397206213E0,5.014952213E-1,1.591348265E0
1.648922083E-1,5.105072424E-1,-1.757365754E0,5.867353463E-1,1.921772724E0
1.748882083E-1,1.174598694E0,-1.645429873E0,8.729694164E-1,2.202089272E0
1.848832082E-1,7.690536500E-1,-1.516769494E0,1.013326566E0,1.979612069E0
1.948792082E-1,-3.184868000E-1,-1.402495605E0,-1.622543871E-1,1.447326587E0
2.048752082E-1,-1.106690812E0,-1.261474797E0,-1.420793881E0,2.198803872E0
2.148702084E-1,-1.416104414E0,-1.094930600E0,-1.540547197E0,2.361675337E0
2.248662084E-1,-1.129603346E0,-6.537973550E-1,-1.135284281E0,1.729833836E0
2.348622084E-1,-3.293668603E-1,2.694432056E-1,-1.555020810E0,1.612194743E0
2.448572083E-1,1.016332144E-1,8.120975626E-1,-1.789300030E0,1.967594053E0
2.548532083E-1,4.721787438E-1,8.743505287E-1,-2.098822975E0,2.322175595E0
2.648492083E-1,-7.022039135E-2,3.216272664E-1,-1.870368167E0,1.899118764E0
2.748442083E-1,-5.299702113E-1,-1.074612987E-1,1.814850608E0,1.893699840E0
2.848402082E-1,1.154485149E0,7.764324707E-1,9.588878185E-1,1.689718672E0
2.948362082E-1,1.513079317E0,1.477218343E0,-9.248283720E-1,2.308005756E0
3.048312082E-1,2.135786441E0,8.202035576E-1,-2.058545600E0,3.077649685E0
3.148272084E-1,1.718799274E0,-3.597212917E-1,-2.707054440E0,3.226734277E0
3.248232084E-1,1.124623345E0,-1.019326394E0,-1.424686958E0,2.081714892E0
3.348182084E-1,9.246971020E-1,-8.183874124E-1,1.190037024E-1,1.240558168E0
3.448142083E-1,1.058444705E0,-1.878254306E-1,1.034703986E0,1.492044210E0
