"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.209191678E-2,1.180688788E-1,-5.596060199E-1,-1.849687150E0,1.936089282E0
5.208491674E-2,6.499691829E-2,-5.431683272E-1,-1.842033144E0,1.921546912E0
6.207891670E-2,8.121344000E-2,-5.890859270E-1,-1.724416401E0,1.824069565E0
7.207291666E-2,7.322029620E-2,-6.589782804E-1,-1.538899451E0,1.675656620E0
8.206691663E-2,1.258465527E-1,-7.538476002E-1,-1.473259193E0,1.659703651E0
9.206091659E-2,1.998236248E-1,-8.959594989E-1,-1.498667684E0,1.757463437E0
1.020549166E-1,3.588414319E-1,-1.081284075E0,-1.666893248E0,2.019028362E0
1.120489168E-1,6.555427489E-1,-1.352173005E0,-1.820397862E0,2.360499207E0
1.220429167E-1,1.025979209E0,-1.722935886E0,-2.058021689E0,2.873429080E0
1.320369167E-1,1.299460941E0,-2.112320103E0,-2.320922445E0,3.396641864E0
1.420309166E-1,1.444274984E0,-2.238598619E0,-2.326322349E0,3.536810664E0
1.520249166E-1,1.264580545E0,-2.173486657E0,-2.222289857E0,3.355857627E0
1.620189166E-1,9.376060000E-1,-2.088016736E0,-2.920287777E0,3.710390761E0
1.720129168E-1,6.980185314E-1,-1.958095405E0,-3.241950127E0,3.851182690E0
1.820069167E-1,3.055807525E-1,-1.701845564E0,-2.599704239E0,3.122197952E0
1.920009167E-1,6.944431052E-2,-1.348787175E0,-2.317572575E0,2.682385505E0
2.019949167E-1,1.023914704E-1,-1.135161490E0,-2.235049067E0,2.508888190E0
2.119889166E-1,2.647793202E-1,-1.048164861E0,-1.953813196E0,2.232967459E0
2.219829166E-1,3.937365916E-1,-1.193526642E0,-1.924004091E0,2.298113594E0
2.319769168E-1,9.495525925E-1,-1.018264247E0,-1.089322243E0,1.767805179E0
2.419709167E-1,1.421107877E0,-5.718869269E-1,-5.339993083E-1,1.622269249E0
2.519649167E-1,1.488184504E0,-1.403083250E-1,2.968882817E-1,1.523982347E0
2.619589167E-1,1.271943944E0,6.920299593E-1,1.329862077E0,1.966031537E0
2.719529166E-1,8.427335373E-1,1.504535365E0,2.895639424E0,3.370245415E0
2.819469166E-1,7.780539036E-1,2.184819438E0,4.916474576E0,5.436039561E0
2.919409166E-1,1.067383782E0,2.865561932E0,6.930050994E0,7.574718483E0
3.019349168E-1,1.266804095E0,3.669623666E0,9.060610317E0,9.857260765E0
3.119289167E-1,1.344323703E0,4.653976986E0,1.138604213E1,1.237370856E1
3.219229167E-1,8.702108462E-1,5.911474798E0,1.346666624E1,1.473274926E1
3.319169166E-1,-6.052384217E-1,7.679243626E0,1.642518896E1,1.814177302E1
3.419109166E-1,-2.393113047E0,8.956269093E0,1.951943491E1,2.160902786E1
3.519049166E-1,-2.589520143E0,7.913558514E0,2.214002599E1,2.365398008E1
3.618989168E-1,-2.846218173E0,7.551182002E0,2.366909159E1,2.500694312E1
3.718929167E-1,-3.441106292E0,7.899389541E0,2.343067722E1,2.496473918E1
3.818869167E-1,-3.506909688E0,7.714756690E0,2.092965001E1,2.258021558E1
3.918809167E-1,-2.453985193E0,6.720901353E0,1.896180700E1,2.026678768E1
4.018749166E-1,-1.317566990E0,5.872109588E0,1.506174457E1,1.621955003E1
4.118689166E-1,-4.868321586E-1,4.827842481E0,1.061904882E1,1.167515595E1
4.218629166E-1,-6.427434862E-2,4.249191495E0,6.713612798E0,7.945587226E0
4.318569168E-1,1.699294424E-1,3.882642410E0,3.408550165E0,5.169332870E0
4.418509167E-1,3.696554187E-1,3.317009080E0,7.402738738E-1,3.418654673E0
4.518449167E-1,5.117152771E-1,2.533233676E0,-1.171750442E0,2.837626557E0
4.618389166E-1,3.949800020E-1,1.645141606E0,-2.748224101E0,3.227264448E0
4.718319166E-1,-3.280609578E-2,4.496824586E-1,-3.555940930E0,3.584411590E0
4.818259166E-1,-1.962998003E-1,-8.960700113E-1,-3.823625293E0,3.932122259E0
4.918199168E-1,7.937887609E-3,-2.348230696E0,-3.916930482E0,4.566902103E0
5.018139167E-1,3.172345456E-1,-3.754251003E0,-4.221545860E0,5.658311391E0
5.118079167E-1,3.533504578E-1,-5.258632586E0,-4.653711814E0,7.031010373E0
5.218019166E-1,2.140879074E-1,-6.683140619E0,-5.472203307E0,8.640324716E0
5.317959166E-1,-1.859648466E-2,-7.900955426E0,-6.157708651E0,1.001712625E1
5.417899166E-1,-2.930384749E-1,-8.734702889E0,-6.791825740E0,1.106841466E1
5.517839168E-1,-3.542617464E-1,-9.146867858E0,-7.594052033E0,1.189370923E1
5.617779167E-1,-4.853212380E-1,-9.681079420E0,-8.388158882E0,1.281873804E1
5.717719167E-1,-2.153237164E-1,-9.857053714E0,-8.369373533E0,1.293268284E1
5.817659167E-1,-5.355841596E-1,-9.988883868E0,-8.822670740E0,1.333807221E1
5.917599166E-1,-8.670757154E-1,-9.914899049E0,-9.186767503E0,1.354450961E1
6.017539166E-1,-1.145210807E0,-9.700867567E0,-9.291254908E0,1.348131140E1
6.117479166E-1,-1.173428885E0,-9.273104566E0,-9.542684596E0,1.335777799E1
6.217419168E-1,-9.689570162E-1,-8.888305151E0,-9.979204388E0,1.339870764E1
6.317359167E-1,-8.538142303E-1,-8.398970969E0,-1.032810541E1,1.333947051E1
6.417299167E-1,-5.161901513E-1,-8.114047844E0,-1.035716607E1,1.316719840E1
6.517239166E-1,-2.353662175E-1,-7.749845831E0,-9.969284002E0,1.262941531E1
6.617179166E-1,-2.471530348E-2,-7.425856290E0,-9.537701014E0,1.208766698E1
6.717119166E-1,2.419533983E-1,-7.153949652E0,-9.118898286E0,1.159274959E1
6.817059168E-1,3.840910612E-1,-6.879700035E0,-8.783854584E0,1.116395539E1
6.916999167E-1,3.439022344E-1,-6.615335137E0,-8.719770854E0,1.095058590E1
7.016939167E-1,2.791112843E-1,-6.491259559E0,-8.805199260E0,1.094284642E1
7.116879167E-1,4.407335874E-1,-6.295536879E0,-9.034613596E0,1.102053871E1
7.216819166E-1,6.970863390E-1,-6.199558343E0,-9.267305297E0,1.117154423E1
7.316759166E-1,7.757626721E-1,-5.937722949E0,-9.089994915E0,1.088514442E1
7.416699168E-1,9.464469901E-1,-5.485738442E0,-8.765434100E0,1.038373358E1
7.516639167E-1,9.860516435E-1,-5.259108549E0,-8.271474186E0,9.851284474E0
7.616579167E-1,1.188132878E0,-5.152175839E0,-7.989284635E0,9.580461606E0
7.716519167E-1,1.658424141E0,-5.166860536E0,-7.712849913E0,9.430528735E0
7.816459166E-1,2.159799933E0,-4.798511970E0,-7.671701887E0,9.302981389E0
7.916399166E-1,2.782046735E0,-4.190206245E0,-7.939852273E0,9.398875813E0
8.016339166E-1,3.001580447E0,-3.424384132E0,-7.550432974E0,8.817308544E0
8.116279168E-1,2.572339562E0,-2.353349057E0,-6.896529492E0,7.727697046E0
8.216219167E-1,2.046354740E0,-1.722085701E0,-5.769098021E0,6.358902331E0
8.316159167E-1,1.901840512E0,-1.995755859E0,-3.400963987E0,4.377966974E0
8.416099166E-1,1.566966964E0,-8.121267986E-1,-1.208807171E0,2.139193815E0
8.516039166E-1,1.053342278E0,5.497414747E-1,3.669361711E-1,1.243538418E0
8.615979166E-1,9.616395181E-1,5.316130596E-1,3.550734569E0,3.716864133E0
