Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.035476583,-0.016579922,0.005583945,0.028403435,0.033359097
0.045472583,-0.020805243,0.015567609,0.028553708,0.03860729
0.055468583,-0.011320758,0.0200954,0.036786003,0.043418829
0.065464583,-0.010593688,0.010864181,0.027204756,0.031150528
0.075459583,-0.013000087,0.011404026,0.034837711,0.038893703
0.085455583,-0.006033614,0.009274543,0.033041446,0.034844782
0.095451583,-0.019250601,0.00971143,0.018221678,0.028229897
0.105447583,-0.007817298,0.010032781,0.010738412,0.01664573
0.115443583,-0.015883061,0.008390106,0.030646427,0.035522795
0.125438583,-0.013083492,0.010779013,0.028701058,0.033333401
0.135434583,-0.013422535,0.008799767,0.040528806,0.043591105
0.145430583,-0.016046094,0.011358006,0.027808773,0.034055973
0.155426583,-0.020097008,0.013029999,0.021822394,0.032401967
0.165422583,-0.021571941,0.013760974,0.030655198,0.039930617
0.175417583,-0.014557895,0.011688347,0.033797491,0.03861114
0.185413583,-0.0110052,0.001328259,0.036193095,0.037852594
0.195409583,-0.005872468,0.010046567,0.036044576,0.037876521
0.205405583,-0.010198768,0.006998889,0.028412206,0.030987945
0.215401583,-0.019560754,0.008261001,0.03245497,0.038783919
0.225397583,-0.009072659,0.009811135,0.024071817,0.027532234
0.235392583,-0.010742952,0.007215866,0.035748122,0.038018522
0.245388583,-0.012459133,0.013488997,0.037546726,0.041796407
0.255384583,-0.009971924,0.007627419,0.03754848,0.039591731
0.265380583,-0.013718144,0.013187399,0.033357781,0.0384036
0.275376583,-0.015435256,0.005753194,0.026024787,0.030799934
0.285371583,-0.017690134,0.011963622,0.031562101,0.038108205
0.295367583,-0.015003316,0.008319711,0.026171553,0.031293246
0.305363583,-0.006297218,0.006333868,0.024974043,0.026523116
0.315359583,-0.01928806,0.003267095,0.035006111,0.040101508
0.325355583,-0.011556186,0.011661943,0.028720354,0.033081794
