"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.146312502E-2,-6.913940746E-1,2.154562435E0,4.208315365E0,4.778083639E0
4.146312503E-2,-4.536695288E-1,2.272264548E0,4.371155643E0,4.947322899E0
5.146312504E-2,-4.786874257E-1,2.419325237E0,4.014249786E0,4.711313787E0
6.146312505E-2,-5.587356618E-1,2.548973211E0,3.645377017E0,4.483104233E0
7.146312506E-2,-6.583821568E-1,2.759850705E0,3.110866077E0,4.210431180E0
8.146312507E-2,-9.803973860E-1,2.877097903E0,2.511788428E0,3.943089206E0
9.146312508E-2,-1.399554163E0,2.569800993E0,1.984860157E0,3.535858997E0
1.014631251E-1,-1.704909944E0,1.939064180E0,1.707604487E0,3.095577635E0
1.114631251E-1,-1.860704181E0,1.261555196E0,1.645125234E0,2.785709711E0
1.214631251E-1,-1.804267148E0,6.333730307E-1,1.638288084E0,2.518040743E0
1.314631251E-1,-1.534608472E0,2.176734200E-1,1.765184943E0,2.349102544E0
1.414631251E-1,-9.742063540E-1,-1.645283693E-1,1.879207987E0,2.123103922E0
1.514621251E-1,-6.039586855E-1,-6.089065263E-1,1.802423521E0,1.996062073E0
1.614621249E-1,-4.907220553E-1,-1.059425721E0,1.507303437E0,1.906608152E0
1.714621249E-1,-1.743355387E-1,-1.319079226E0,1.076057249E0,1.711216552E0
1.814621249E-1,2.801640755E-1,-1.490863405E0,6.379820985E-1,1.645656939E0
1.914621249E-1,4.417263716E-1,-1.565584974E0,6.058469707E-1,1.735865505E0
2.014621249E-1,1.912658775E-1,-1.466310070E0,6.483942354E-1,1.614640189E0
2.114621249E-1,-3.247031942E-2,-1.284198831E0,4.548578292E-1,1.362760655E0
2.214621250E-1,-1.214917658E-1,-1.221226657E0,2.537890399E-1,1.253221319E0
2.314621250E-1,-2.215634995E-1,-1.227328227E0,1.620146513E-1,1.257646098E0
2.414621250E-1,-3.540513928E-1,-1.274174072E0,6.617352426E-2,1.324103806E0
2.514621250E-1,-3.631878866E-1,-1.520909031E0,2.052080333E-2,1.563806517E0
2.614621250E-1,-2.438109125E-1,-1.734565414E0,-2.573353761E-1,1.770418716E0
2.714621250E-1,-1.498786821E-1,-1.817620142E0,-6.431913829E-1,1.933882560E0
2.814621250E-1,1.057695530E-2,-1.898762246E0,-1.237362049E0,2.266379222E0
2.914621250E-1,2.229891238E-1,-1.878268047E0,-1.916127892E0,2.692426620E0
3.014611250E-1,3.052356937E-1,-1.788036739E0,-2.619187161E0,3.185966980E0
3.114611250E-1,1.648150291E-1,-1.745671907E0,-3.300115889E0,3.737017432E0
3.214611250E-1,-2.117083830E-1,-1.827156658E0,-3.854479296E0,4.270870231E0
3.314611251E-1,-1.813358435E-1,-1.618094433E0,-4.222908846E0,4.525933208E0
3.414611251E-1,-2.652169843E-1,-1.150270695E0,-4.106030606E0,4.272347137E0
3.514611251E-1,-3.885863641E-1,-9.706477386E-1,-4.162676677E0,4.291973149E0
3.614611251E-1,-5.301152223E-1,-1.130730177E0,-4.206398647E0,4.387865365E0
3.714611251E-1,-2.346959073E-1,-9.983433679E-1,-4.220564697E0,4.343378640E0
3.814611251E-1,2.891429137E-1,-7.453562737E-1,-4.058705581E0,4.136695613E0
3.914611251E-1,7.990350290E-1,-7.463348052E-1,-3.929938198E0,4.079201743E0
4.014611251E-1,1.185222427E0,-9.546512184E-1,-4.347577330E0,4.606250079E0
4.114611251E-1,8.558410214E-1,-1.145756060E0,-4.664277148E0,4.878596327E0
4.214611249E-1,6.637218341E-2,3.746805158E-1,-5.317814595E0,5.331410959E0
4.314611249E-1,-9.392049211E-1,1.517042267E0,-4.922527614E0,5.235914555E0
4.414611249E-1,-1.429913199E0,1.295327544E0,-4.323594975E0,4.734553697E0
4.514601249E-1,-6.300861646E-1,5.157980955E-1,-4.162669660E0,4.241565154E0
4.614601249E-1,5.608481146E-1,2.803839308E-1,-3.633106050E0,3.686817778E0
4.714601249E-1,1.002388325E0,3.810615823E-1,-3.283272985E0,3.453964646E0
4.814601250E-1,6.653476524E-1,5.675251964E-1,-3.192702538E0,3.310305400E0
4.914601250E-1,5.305178761E-1,5.107721213E-1,-2.696472734E0,2.795228539E0
5.014601250E-1,8.360746551E-1,2.619903445E-1,-2.484825747E0,2.634771102E0
5.114601250E-1,1.199065125E0,-2.733865678E-3,-1.808871245E0,2.170202716E0
5.214601250E-1,1.165451821E0,-2.045326799E-1,-1.072788656E0,1.597180974E0
5.314601250E-1,1.339733931E0,-7.781164688E-1,-6.693208355E-1,1.687703358E0
5.414601250E-1,1.584173858E0,-1.296274793E0,-3.302881622E-1,2.073409130E0
5.514601250E-1,1.396371231E0,-1.218334917E0,-2.483218932E-1,1.869720927E0
5.614601250E-1,1.730486396E0,-1.126182213E0,-2.929548597E-1,2.085351791E0
5.714601250E-1,2.460257209E0,-1.691873430E0,4.619183421E-2,2.986207448E0
5.814601250E-1,3.283363616E0,-2.485180088E0,4.867894739E-1,4.146511872E0
5.914601251E-1,3.680901775E0,-2.996365315E0,1.731714896E0,5.052334061E0
6.014591251E-1,3.091870812E0,-2.935269513E0,3.139826167E0,5.294712513E0
6.114591251E-1,3.193737495E0,-2.643801016E0,4.057526198E0,5.801134531E0
6.214591251E-1,4.360328938E0,-2.576360400E0,4.652619554E0,6.877279264E0
6.314591251E-1,4.939147155E0,-2.569451037E0,5.356263546E0,7.725724071E0
6.414591251E-1,4.659449102E0,-2.533113808E0,5.628062595E0,7.733189515E0
6.514591251E-1,3.736809928E0,-3.263226390E0,5.122783640E0,7.131290706E0
6.614591251E-1,1.437670700E0,-3.594317375E0,4.987776108E0,6.313788478E0
6.714591251E-1,1.149072601E0,-4.068552585E0,2.301207680E0,4.813423394E0
6.814591249E-1,5.469251633E-2,-5.125924180E0,5.319878662E-1,5.153746313E0
6.914591249E-1,-4.647062945E-1,-5.429014603E0,1.808520412E-1,5.451867474E0
7.014591249E-1,-2.325069290E-1,-5.988867375E0,3.379971313E-1,6.002902129E0
7.114590001E-1,-4.303901553E-2,-6.212108806E0,7.458421773E-1,6.256870522E0
7.214589999E-1,3.664485133E-1,-6.000067717E0,1.097085006E0,6.110539471E0
7.314589999E-1,7.000450301E-1,-5.682693130E0,1.127637731E0,5.835634594E0
7.414589999E-1,6.642483759E-1,-4.870776832E0,1.148421367E0,5.048223894E0
7.514589999E-1,1.351948764E0,-4.101862126E0,9.186095658E-1,4.415527363E0
7.614579999E-1,1.732576776E0,-3.051349608E0,9.068122235E-1,3.624205447E0
7.714579999E-1,1.574121324E0,-2.205689320E0,1.196406104E0,2.962146331E0
7.814580000E-1,1.521579414E0,-1.688204595E0,1.702369475E0,2.839595129E0
7.914580000E-1,2.236148343E0,-1.262089631E0,2.353372153E0,3.483043230E0
8.014580000E-1,3.238433611E0,-5.391018811E-1,2.869142474E0,4.360052939E0
8.114580000E-1,3.410986115E0,3.664099216E-2,3.177653851E0,4.661936597E0
8.214580000E-1,2.989733403E0,1.169527915E-1,3.587721716E0,4.671609026E0
8.314580000E-1,2.363203077E0,7.392897874E-2,3.672709534E0,4.367950274E0
8.414580000E-1,2.609952654E0,2.424887109E-1,3.754487815E0,4.578955381E0
8.514580000E-1,3.213371276E0,9.988915443E-2,4.154877076E0,5.253449944E0
8.614580000E-1,4.201194041E0,-1.393128365E-1,4.089180100E0,5.864369815E0
8.714580000E-1,5.851631470E0,-3.703550380E-1,3.139945450E0,6.651166149E0
8.814580000E-1,6.930360897E0,-4.876303035E-1,2.558925172E0,7.403768196E0
8.914580001E-1,6.905697926E0,5.588300943E-1,1.739191146E0,7.143230415E0
9.014580001E-1,8.241473292E0,6.392141068E-1,1.069259861E-1,8.266916587E0
9.114580001E-1,9.510840075E0,5.033499581E-1,-5.494955993E-1,9.539988759E0
9.214570001E-1,9.932302701E0,2.087953001E-1,-5.415521568E-1,9.949246764E0
9.314570001E-1,1.107504628E1,-1.973154616E-1,-1.632642013E0,1.119647727E1
9.414570001E-1,1.177872594E1,-4.786969274E-1,-2.389710259E0,1.202822724E1
9.514570001E-1,1.255157699E1,-8.152819562E-1,-3.151109539E0,1.296673671E1
9.614570001E-1,1.375374114E1,-7.361141646E-1,-4.677337489E0,1.454595288E1
9.714570001E-1,1.450634796E1,-6.626053083E-1,-6.234215375E0,1.580312052E1
9.814569999E-1,1.520286595E1,-6.158737761E-1,-8.183633219E0,1.727652413E1
9.914569999E-1,1.529427781E1,-3.295742172E-1,-1.062207768E1,1.862396540E1
1.001457000E0,1.465185592E1,-5.185837090E-2,-1.239719880E1,1.919297031E1
1.011457000E0,1.400961997E1,-1.424598080E-1,-1.357336155E1,1.950707283E1
1.021457000E0,1.338510342E1,-5.787530199E-1,-1.408496719E1,1.943919364E1
1.031457000E0,1.172273300E1,-1.666173456E0,-1.365942321E1,1.807701428E1
1.041457000E0,9.623775537E0,-2.557172177E0,-1.259232506E1,1.605374834E1
1.051457000E0,7.546957389E0,-3.562316149E0,-1.144528846E1,1.416479051E1
1.061457000E0,4.686090771E0,-4.401149228E0,-1.033644003E1,1.217257383E1
1.071457000E0,3.431136789E0,-4.383416962E0,-8.409804690E0,1.008522974E1
1.081456000E0,2.927356476E0,-4.334377826E0,-6.535832884E0,8.370983130E0
1.091456000E0,7.099753565E-1,-4.536685640E0,-2.994705291E0,5.482138395E0
1.101456000E0,-9.465583795E-1,-4.587928884E0,-3.659760582E-1,4.698829927E0
1.111456000E0,-2.672499735E0,-6.823802408E0,3.636224955E0,8.180994197E0
1.121456000E0,-4.568758203E0,-1.056770325E1,8.424599315E0,1.426617598E1
1.131456000E0,-4.491236987E0,-1.121256928E1,1.177861952E1,1.687094536E1
1.141456000E0,-6.017372552E0,-1.071073550E1,1.238677672E1,1.744594122E1
1.151456000E0,-5.605183024E0,-7.257321408E0,1.013679387E1,1.366899340E1
1.161456000E0,-3.126170579E0,-3.898087245E0,6.006152329E0,7.812931106E0
1.171456000E0,-1.119714900E0,-8.958229664E-1,2.965163403E0,3.293699175E0
1.181456000E0,1.315500730E-1,1.254007025E0,2.671636686E-1,1.288881479E0
1.191456000E0,1.356742312E0,3.893498350E0,-2.670967472E0,4.912651661E0
1.201456000E0,3.465643548E0,2.287596532E0,-3.575810061E0,5.479981814E0
1.211456000E0,3.296221059E0,-2.311095907E0,-2.249433948E0,4.611528016E0
1.221456000E0,2.084718322E0,-2.299941466E0,-1.525892905E0,3.458920407E0
1.231456000E0,-6.876986343E-1,-1.744146369E0,-2.154360999E0,2.855914439E0
1.241455000E0,-1.977254684E0,1.419292609E0,-2.036301037E0,3.173397156E0
1.251455000E0,-5.954605615E-1,1.791792698E0,1.946730172E0,2.711983170E0
1.261455000E0,-4.343923405E0,4.125432837E-1,6.807141936E0,8.085607204E0
1.271455000E0,-5.246559255E0,4.501646200E0,6.236908017E0,9.310758516E0
1.281455000E0,-4.465097594E0,7.552786478E0,6.103828897E0,1.068823687E1
1.291455000E0,-4.353864841E0,8.732379790E0,5.930702198E0,1.141857366E1
1.301455000E0,-2.206718722E0,7.675898434E0,3.264733218E0,8.628296893E0
1.311455000E0,-2.685591066E0,6.201569785E0,3.142299539E0,7.452913092E0
1.321455000E0,-4.195190120E0,3.094481594E0,2.731333834E0,5.885203564E0
1.331455000E0,-6.476696484E0,1.113786116E0,1.239698157E-1,6.572935826E0
1.341455000E0,-8.044674724E0,1.695163659E0,-2.900036530E0,8.717831331E0
1.351455000E0,-7.743884010E0,5.277272925E-1,-4.050199637E0,8.755018718E0
1.361455000E0,-7.616634564E0,-1.180637917E0,-3.178707812E0,8.337338384E0
1.371455000E0,-7.834423467E0,-9.825620252E-1,-2.907940797E0,8.414258070E0
1.381455000E0,-8.010154517E0,-1.754994708E0,-1.938054950E0,8.426069000E0
1.391454000E0,-8.728059282E0,-2.265377405E0,-1.089438602E0,9.082831612E0
1.401454000E0,-8.448691013E0,-2.372981960E0,-1.355977496E0,8.879757777E0
1.411454000E0,-5.694081168E0,-2.438457327E0,-4.366228779E0,7.578429140E0
1.421454000E0,-4.242512805E0,5.826668537E-1,-4.291238823E0,6.062437315E0
1.431454000E0,-1.867017127E0,1.670164765E0,-4.202947621E0,4.892849068E0
1.441454000E0,-3.019379371E-1,3.492039049E-1,-3.629891835E0,3.659128943E0
1.451454000E0,2.104330468E0,2.352436014E0,-2.705080420E0,4.156876471E0
1.461454000E0,3.329438506E0,3.547266001E0,-2.708525015E0,5.568156302E0
1.471454000E0,3.634652054E0,3.396327145E0,-1.994094665E0,5.359304727E0
1.481454000E0,2.881068163E0,3.776025449E0,-1.164213454E0,4.890226469E0
1.491454000E0,2.147089401E0,3.423223752E0,-2.894623178E-1,4.051202561E0
1.501454000E0,6.213853616E-1,3.521173970E0,1.672922751E-1,3.579493344E0
1.511454000E0,-1.031145371E0,5.793794321E0,9.986452304E-2,5.885684865E0
