"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.992566667E-2,3.162612766E-1,2.766434669E-1,2.749863660E-1,5.021656145E-1
2.994166667E-2,6.768766075E-1,-3.495494753E-2,-1.451629758E-1,6.931493921E-1
3.995766667E-2,7.828407267E-1,-2.434099397E-1,-3.750936216E-1,9.015449113E-1
4.997366667E-2,5.672573939E-1,-3.738519654E-1,-3.756099308E-1,7.762918672E-1
5.998966667E-2,3.538129726E-1,-3.393206486E-1,-4.079064417E-1,6.377380241E-1
7.000566667E-2,4.101257524E-1,-1.960132867E-1,-3.767308420E-1,5.903816297E-1
8.002166667E-2,3.796901178E-1,-5.472379893E-2,-2.097343630E-1,4.372045091E-1
9.003766667E-2,1.767186445E-1,6.226758420E-2,1.200053304E-1,2.225039566E-1
1.000536667E-1,4.804510921E-2,1.006720966E-1,3.178283304E-1,3.368353473E-1
1.100696667E-1,-5.618881881E-3,9.026405275E-2,3.687546551E-1,3.796829819E-1
1.200856667E-1,2.585931122E-2,8.333188623E-2,3.932913262E-1,4.028535397E-1
1.301016667E-1,2.279537022E-1,2.706910014E-2,2.523740137E-1,3.411572501E-1
1.401176667E-1,5.590636906E-1,-1.495966271E-1,-2.643233836E-2,5.793358521E-1
1.501336667E-1,6.668614966E-1,-2.708757734E-1,-3.084669381E-1,7.830899004E-1
1.601496667E-1,2.611468837E-1,-1.838814837E-1,-8.223863232E-1,8.822297657E-1
1.701656667E-1,3.367999139E-1,-9.488832325E-2,-6.848036778E-1,7.690214906E-1
1.801816667E-1,3.753883213E-1,-1.009986636E-1,-4.608319294E-1,6.028956701E-1
1.901986667E-1,3.579609874E-1,-1.344195941E-1,-3.940017629E-1,5.490374167E-1
2.002146667E-1,2.718136668E-1,-1.351288614E-1,-3.113730043E-1,4.348512694E-1
2.102306667E-1,1.101586193E-1,-5.992460489E-2,-2.283928281E-1,2.605554905E-1
2.202466667E-1,8.193498641E-2,8.364149630E-3,-3.336374474E-1,3.436528005E-1
2.302626667E-1,8.485508591E-2,3.271867990E-2,-7.088947910E-1,7.147046399E-1
2.402786667E-1,2.203564149E-1,6.660066336E-2,-8.687535739E-1,8.987354283E-1
2.502946667E-1,4.070890009E-1,-1.097855669E-1,-9.489498907E-1,1.038402726E0
2.603106667E-1,2.814247352E-1,-1.012027314E-1,-9.737274671E-1,1.018620172E0
2.703266667E-1,1.749179944E-1,-1.896699348E-1,-6.858795655E-1,7.328040443E-1
2.803426667E-1,1.748066050E-1,-2.376726517E-1,-5.456422842E-1,6.202992349E-1
2.903586667E-1,3.311687529E-1,-1.756576672E-1,-4.171269161E-1,5.608237005E-1
3.003746667E-1,5.819359517E-1,-5.114150226E-2,-2.277689302E-1,6.270116352E-1
3.103906667E-1,9.068689415E-1,-8.674256712E-2,-1.558516860E-1,9.242430947E-1
3.204066667E-1,1.424344603E0,-4.333225340E-1,-2.117130607E-1,1.503778038E0
3.304226667E-1,2.145451012E0,-1.023063641E0,-1.491665643E-1,2.381568794E0
3.404386667E-1,2.602542477E0,-1.430530957E0,1.082109118E-1,2.971759709E0
3.504546667E-1,3.254490650E0,-1.754757603E0,1.847585660E-1,3.702029088E0
3.604706667E-1,3.812769060E0,-2.071811178E0,3.057789731E-1,4.350070142E0
3.704866667E-1,3.710517338E0,-2.706958838E0,4.790758270E-1,4.617908479E0
3.805036667E-1,3.087533932E0,-3.384790589E0,8.978738773E-1,4.668602640E0
3.905196667E-1,2.459837086E0,-3.598375635E0,1.392745373E0,4.575898314E0
4.005356667E-1,2.406469257E0,-3.762665731E0,1.328178079E0,4.659700065E0
4.105516667E-1,2.445659342E0,-3.774981429E0,1.271020376E0,4.674101754E0
4.205676667E-1,2.196466214E0,-3.629181983E0,1.253493347E0,4.423423026E0
4.305836667E-1,2.187214749E0,-3.545979905E0,1.248927841E0,4.349448540E0
4.405996667E-1,2.060378117E0,-3.254380138E0,9.979548204E-1,3.978952361E0
4.506156667E-1,1.312849018E0,-2.822842759E0,5.541318566E-1,3.162131544E0
4.606316667E-1,5.695287448E-1,-3.233495345E0,-6.633496588E-1,3.349610113E0
4.706476667E-1,-2.892108876E-1,-3.860813584E0,-5.395558004E0,6.640901343E0
