"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.288341666E-2,-7.837344736E-2,1.069426507E-1,-3.388476089E0,3.391069054E0
3.290041667E-2,-4.166364808E-1,4.907983249E-1,-3.662510528E0,3.718662706E0
4.291841667E-2,-5.227805480E-1,7.629984927E-1,-3.585254191E0,3.702636063E0
5.293541666E-2,-6.916260628E-1,1.079348062E0,-3.282735626E0,3.524158345E0
6.295241667E-2,-8.169348179E-1,1.529859656E0,-2.783509709E0,3.279600488E0
7.297041666E-2,-8.455336958E-2,1.838048267E0,-2.131100190E0,2.815521040E0
8.298741667E-2,1.065577723E0,1.803155592E0,-1.102803583E0,2.367066057E0
9.300441666E-2,1.969067851E0,1.699033638E0,-4.209644437E-1,2.634607100E0
1.030224167E-1,2.732744182E0,1.120954510E0,4.047413439E-1,2.981316041E0
1.130394167E-1,2.664891922E0,9.409614247E-1,1.496442234E0,3.197873781E0
1.230564167E-1,2.105681321E0,6.165409434E-1,2.270572071E0,3.157453735E0
1.330744167E-1,1.846739568E0,1.607627624E-1,3.396455199E0,3.869392668E0
1.430914167E-1,1.852130993E0,2.873421174E-1,4.146115608E0,4.550080147E0
1.531084167E-1,1.575663820E0,1.748083591E-1,4.161121902E0,4.452887818E0
1.631264167E-1,1.369653256E0,1.638541853E-1,3.882057688E0,4.119850741E0
1.731434167E-1,1.650197108E0,2.873467952E-1,3.401852764E0,3.791875645E0
1.831604167E-1,2.289424664E0,4.071305162E-1,2.909619532E0,3.724661914E0
1.931784167E-1,2.911224885E0,5.232731760E-1,2.314938989E0,3.756060126E0
2.031954167E-1,3.324580640E0,5.822973096E-1,1.774275609E0,3.813130017E0
2.132124167E-1,3.421454093E0,5.065755746E-1,1.232145163E0,3.671668370E0
2.232304167E-1,3.213185042E0,2.428462681E-1,6.429183179E-1,3.285860068E0
2.332474167E-1,2.748298945E0,-1.373326769E-1,2.122790712E-1,2.759903941E0
2.432644167E-1,1.904609754E0,-2.985564923E-1,4.838103175E-2,1.928474790E0
2.532824167E-1,8.125586155E-1,-1.617357391E-1,-3.727307618E-2,8.293366235E-1
2.632994167E-1,-3.983766496E-2,-4.476306707E-2,-1.704282099E-1,1.806558785E-1
2.733164167E-1,-2.411882901E-1,-4.239561716E-1,-3.124681878E-1,5.792641842E-1
2.833344167E-1,1.181301284E-1,-1.148470922E0,-4.403678441E-1,1.235663394E0
2.933514167E-1,6.094684437E-1,-1.736771276E0,-5.598632973E-1,1.923869320E0
3.033684167E-1,9.243018302E-1,-1.879825453E0,-5.779861575E-1,2.173049840E0
3.133864167E-1,1.199982553E0,-1.577229997E0,-4.366373205E-1,2.029350817E0
3.234034167E-1,1.592190098E0,-9.956478015E-1,-1.895082593E-3,1.877867792E0
3.334204167E-1,1.715456128E0,-4.468430507E-1,5.317908150E-1,1.850745771E0
3.434384167E-1,1.633774326E0,-2.801757699E-1,8.230786335E-1,1.850722953E0
3.534554167E-1,1.857802500E0,1.547737518E-1,1.180361636E0,2.206499181E0
3.634724167E-1,1.960760566E0,7.453860945E-1,1.749476983E0,2.731456048E0
3.734904167E-1,1.735376422E0,9.445247179E-1,1.749344836E0,2.638913721E0
3.835074167E-1,1.401290494E0,5.924346274E-1,1.307516942E0,2.006039478E0
3.935244167E-1,8.936752841E-1,7.560771435E-2,4.138115448E-1,9.877307500E-1
4.035424167E-1,1.075557312E-1,-3.354711342E-1,-5.957605237E-1,6.921269528E-1
4.135594167E-1,-7.111933315E-1,-1.974025851E-1,-1.673211164E0,1.828769897E0
4.235764167E-1,-1.065400699E0,3.438922942E-1,-2.543087404E0,2.778602905E0
4.335944167E-1,-8.350788742E-1,8.006411129E-1,-2.703554297E0,2.940678281E0
4.436114167E-1,-2.131301335E-1,7.810348141E-1,-2.719856919E0,2.837791658E0
4.536284167E-1,6.889031607E-1,6.936025679E-1,-3.107232032E0,3.257385914E0
4.636464167E-1,1.530749602E0,4.278524637E-1,-3.699194205E0,4.026200422E0
4.736634167E-1,1.809992449E0,-1.409997582E-2,-3.770558887E0,4.182509509E0
4.836804167E-1,1.731040127E0,-1.630341133E-1,-3.686498145E0,4.075947573E0
4.936984167E-1,9.823433393E-1,1.077416727E-1,-3.128022977E0,3.280416810E0
5.037154167E-1,1.652692115E-1,3.286301842E-1,-2.259474056E0,2.289221422E0
5.137324167E-1,-4.849133947E-1,2.915974286E-1,-9.693736303E-1,1.122432758E0
5.237494167E-1,-1.145546145E0,2.973809096E-1,5.792976880E-1,1.317686301E0
5.337674167E-1,-3.697817186E-1,3.459619161E-1,1.455658489E0,1.541223477E0
5.437844167E-1,3.814401895E-1,-6.230237514E-2,1.954494982E0,1.992342550E0
5.538014167E-1,6.402744994E-1,-5.995688152E-1,4.983330470E-1,1.008845887E0
5.638194167E-1,5.004944703E-1,-4.704827589E-1,-6.372816020E-1,9.370040456E-1
5.738364167E-1,-8.194951674E-1,-4.301287848E-1,-1.702328544E0,1.937654658E0
5.838534167E-1,-1.694288038E0,-5.687352777E-1,-2.513716840E0,3.084289889E0
5.938714167E-1,-2.314670894E0,-3.447281536E-1,-3.007658043E0,3.810845805E0
6.038884167E-1,-2.540209697E0,-1.329022416E-1,-2.863855714E0,3.830404399E0
6.139054167E-1,-1.814962582E0,2.221941948E-3,-7.452299738E-1,1.962004543E0
6.239234167E-1,-1.081405697E0,-2.681468779E-1,1.445759153E0,1.825256300E0
6.339404167E-1,-1.434257680E-1,-4.901443139E-1,2.646958512E0,2.695774798E0
6.439574167E-1,1.294216865E-1,-5.005473876E-1,2.620019220E0,2.670542711E0
6.539754167E-1,-4.334643289E-1,-8.742502490E-1,2.063289446E0,2.282404031E0
6.639924167E-1,-1.187626509E0,-1.324859199E0,1.928240399E0,2.623703424E0
6.740094167E-1,-1.787097676E0,-1.773345610E0,1.805089851E0,3.097873807E0
6.840274167E-1,-1.889551712E0,-1.854181612E0,1.553922703E0,3.069702084E0
6.940444167E-1,-1.317871776E0,-1.392554461E0,1.703058861E0,2.564449928E0
7.040614167E-1,-6.379432145E-1,-1.042532823E0,1.925167102E0,2.280375979E0
7.140794167E-1,-2.086318704E-1,-8.221734846E-1,1.879309729E0,2.061868462E0
7.240964167E-1,3.508776703E-1,-3.714999229E-1,-2.411684096E-2,5.115749742E-1
7.341134167E-1,1.666397404E0,1.036839974E0,-6.783113973E0,7.061342125E0
7.441314167E-1,1.564804956E0,1.272434818E0,-7.593111216E0,7.856401393E0
7.541484167E-1,-4.154680610E-1,-1.840217876E0,-3.193465015E0,3.709074594E0
7.641654167E-1,-2.319841587E0,-3.579783829E0,-1.386105859E-1,4.267989005E0
7.741834167E-1,-2.058005609E0,-3.757597072E0,1.000014794E0,4.399426375E0
7.842001667E-1,-8.146086493E-1,-3.445436448E0,1.063616129E0,3.696741651E0
7.942171667E-1,5.442263809E-1,-2.761180654E0,-2.403012675E-1,2.824543442E0
8.042351667E-1,1.462919854E0,-2.457915399E0,-1.613025189E0,3.283798543E0
8.142521667E-1,1.153998587E0,-2.419638940E0,-2.014088634E0,3.353046133E0
8.242691667E-1,5.959783325E-1,-2.447547701E0,-1.718772669E0,3.049567085E0
8.342871667E-1,4.143079734E-1,-2.476548429E0,-1.015252054E0,2.708446039E0
8.443041667E-1,1.289556050E0,-2.034616162E0,-4.772210902E-1,2.455678664E0
8.543211667E-1,2.438839442E0,-2.125670758E0,-3.182288647E-1,3.250797380E0
8.643391667E-1,3.218044078E0,-2.252438101E0,-7.427969474E-1,3.997628346E0
8.743561667E-1,3.757637418E0,-2.090522706E0,-1.141065423E0,4.448837427E0
8.843731667E-1,3.932195224E0,-2.123545295E0,-1.924129221E0,4.865580865E0
8.943911667E-1,3.880005900E0,-2.074211314E0,-2.932666333E0,5.287469166E0
9.044081667E-1,3.229298506E0,-2.327673056E0,-3.002981440E0,4.986414366E0
9.144251667E-1,1.983945653E0,-3.361207598E0,-2.873881935E0,4.846953089E0
9.244431667E-1,1.351656988E0,-3.952642937E0,-3.177212679E0,5.248337185E0
9.344601667E-1,1.406002765E0,-3.818346719E0,-3.522194309E0,5.381678938E0
9.444771667E-1,5.106350040E-1,-3.510625593E0,-3.629712326E0,5.075436112E0
9.544951667E-1,-3.065548986E-1,-3.536400997E0,-3.315919744E0,4.857512909E0
9.645121667E-1,-1.201117498E-1,-3.473274457E0,-2.549384855E0,4.310153759E0
9.745291667E-1,7.577032542E-1,-3.220718887E0,-1.537916535E0,3.648606808E0
9.845471667E-1,1.338356912E0,-2.799040790E0,-3.425749165E-1,3.121407718E0
9.945641667E-1,1.318996196E0,-2.316613193E0,9.634433842E-1,2.834549489E0
1.004581167E0,1.605613258E0,-1.917432698E0,1.456613925E0,2.894177985E0
1.014599167E0,1.579319499E0,-2.136478898E0,2.049279517E0,3.355344796E0
1.024616167E0,1.003440093E0,-3.229406972E0,2.695428421E0,4.324499484E0
1.034633167E0,4.699173331E-1,-4.176459734E0,2.774756427E0,5.036160386E0
1.044651167E0,3.202373832E-1,-4.186558752E0,2.580385623E0,4.928307634E0
1.054668167E0,2.185040170E-1,-3.826731041E0,2.465567942E0,4.557481733E0
1.064685167E0,-6.430896413E-1,-3.664148918E0,2.699979894E0,4.596677388E0
1.074703167E0,-1.197589872E0,-3.514226601E0,3.283243164E0,4.956177537E0
1.084720167E0,-6.553652859E-1,-3.053159029E0,3.578984807E0,4.749780622E0
1.094737167E0,-2.198085308E-1,-2.689629153E0,3.795941650E0,4.657423513E0
1.104755167E0,-5.274147588E-1,-3.306363055E0,4.498923152E0,5.608075651E0
1.114772167E0,-1.173818602E0,-4.388606950E0,4.791358194E0,6.602638444E0
1.124789167E0,-1.906026827E0,-4.717939678E0,4.712148303E0,6.935144893E0
1.134807167E0,-2.502982521E0,-4.414812417E0,4.697944247E0,6.915646775E0
1.144824167E0,-3.139783482E0,-4.183854707E0,4.233312796E0,6.729325208E0
