"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.364395833E-2,1.281028470E-1,2.445657588E0,2.384775794E0,3.418304692E0
4.369495832E-2,1.005536028E0,1.587801470E0,1.320364444E0,2.296862747E0
5.374495831E-2,1.147480111E0,1.199101962E0,4.246195382E-1,1.713142690E0
6.379595835E-2,2.208613512E0,8.846270102E-1,-8.606545955E-1,2.530072119E0
7.384695834E-2,2.992877744E0,-1.406044865E-1,-1.983698900E0,3.593347762E0
8.389695833E-2,3.333148857E0,-1.118281163E0,-2.532478216E0,4.332883564E0
9.394795832E-2,3.365079917E0,-1.894918286E0,-3.310081884E0,5.086366113E0
1.039979584E-1,3.158196364E0,-2.642114094E0,-3.996189491E0,5.737987592E0
1.140489583E-1,3.137640185E0,-3.514177192E0,-4.680607252E0,6.640957123E0
1.240999583E-1,3.127316049E0,-4.362132220E0,-5.293164487E0,7.538295130E0
1.341499583E-1,3.172631093E0,-4.786558215E0,-6.441372285E0,8.629484603E0
1.442009583E-1,3.351936253E0,-5.023835303E0,-7.654011721E0,9.749784265E0
1.542509584E-1,3.408099052E0,-5.064992684E0,-8.626716510E0,1.056832663E1
1.643019583E-1,3.357704824E0,-4.951817486E0,-9.201038218E0,1.097514384E1
1.743519583E-1,3.273016384E0,-4.863474244E0,-9.180778785E0,1.089278280E1
1.844029583E-1,4.294177341E0,-4.290410857E0,-9.072404736E0,1.091586515E1
1.944529584E-1,1.909589535E0,-4.685530608E0,-9.894340239E0,1.111299681E1
2.045039583E-1,1.613933262E0,-5.012457206E0,-1.014497997E1,1.143022862E1
2.145549583E-1,3.027600849E0,-4.821809324E0,-1.006408023E1,1.156295477E1
2.246049583E-1,3.123701008E0,-4.820710047E0,-9.832825191E0,1.138776557E1
2.346559583E-1,3.596294319E0,-5.068732563E0,-9.374441491E0,1.124746798E1
2.447059584E-1,2.241626599E-1,-4.684923082E0,-8.026288739E0,9.296239245E0
2.547569583E-1,8.218843397E-1,-3.679972945E0,-9.279965689E0,1.001675885E1
2.648069583E-1,1.262110097E0,-3.692420205E0,-8.336246717E0,9.204341269E0
2.748579583E-1,-2.927320808E-1,-3.594687504E0,-6.558695498E0,7.484915294E0
2.849089583E-1,-2.659952487E0,-2.648217125E0,-6.073327482E0,7.139587374E0
2.949589583E-1,-2.734821990E0,-1.093965517E0,-4.675697930E0,5.526134544E0
3.050099583E-1,-2.670995539E0,1.211418537E0,-1.933463717E0,3.512838451E0
3.150599583E-1,-4.044534562E0,2.986450776E0,-1.330021706E0,5.200587063E0
3.251109583E-1,-4.483725069E0,3.434348957E0,2.930639688E0,6.362954678E0
3.351619584E-1,-4.415921926E0,3.232004305E0,9.134765875E0,1.064848186E1
3.452119583E-1,-5.199572200E0,3.498467770E0,1.165527601E1,1.323330218E1
3.552625000E-1,-5.872541113E0,3.073838876E0,1.471791191E1,1.614162804E1
3.653125000E-1,-5.743995924E0,1.523041510E0,1.712226594E1,1.812415889E1
3.753635000E-1,-4.537649261E0,5.664753288E-2,1.797589861E1,1.853985978E1
3.854135000E-1,-3.377546766E0,-9.539492601E-1,1.772271885E1,1.806689251E1
3.954645000E-1,-2.579708515E0,5.688095373E-1,1.446776920E1,1.470696386E1
4.055145000E-1,-2.809090108E0,3.179603898E0,1.248251786E1,1.318385832E1
4.155655000E-1,-2.749708709E0,5.035067219E0,1.309206904E1,1.429388232E1
4.256165000E-1,-2.137395156E0,4.195957274E0,1.335355536E1,1.415951822E1
4.356665000E-1,-1.709792369E0,3.275778024E0,1.147430702E1,1.205461875E1
4.457175000E-1,-1.346576927E0,2.546617660E0,8.600396438E0,9.070024797E0
4.557675000E-1,-9.317931367E-1,1.298139031E0,6.353520209E0,6.551383246E0
4.658185000E-1,-3.706300034E-1,-3.473496066E-1,4.986454638E0,5.012259790E0
