"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.342670836E-2,-1.214738879E0,1.053435541E0,-1.018064564E-1,1.611111895E0
3.347970836E-2,-1.193964014E0,7.769359159E-1,-2.930630332E-1,1.454326451E0
4.353270831E-2,-9.056062353E-1,8.251561493E-1,-3.644569516E-1,1.278215238E0
5.358570832E-2,-7.759284407E-1,1.172952629E0,-3.122091562E-1,1.440610070E0
6.363870832E-2,-6.379587096E-1,1.467016998E0,-2.760341871E-1,1.623368430E0
7.369170833E-2,-3.815708748E-1,1.784453273E0,3.172079408E-1,1.852158388E0
8.374470833E-2,-5.632273467E-1,1.978223860E0,1.001432744E0,2.287676163E0
9.379770834E-2,-8.703425547E-1,1.685956925E0,1.236344633E0,2.264618062E0
1.038507083E-1,-1.118323117E0,1.155289945E0,7.830936188E-1,1.788456616E0
1.139037083E-1,-9.766911283E-1,8.355706251E-1,5.298103631E-1,1.390252801E0
1.239567084E-1,-4.212085649E-1,5.300027364E-1,8.486221951E-1,1.085577812E0
1.340130000E-1,-2.386864127E-1,2.009144229E-1,1.133186885E0,1.175351150E0
1.440660000E-1,-1.014338426E-1,-1.813221574E-3,9.803266346E-1,9.855619832E-1
1.541190000E-1,1.283770815E-1,-1.460342109E-1,6.724052417E-1,6.999539091E-1
1.641720000E-1,3.080433074E-1,9.977688789E-3,5.223955089E-1,6.065371392E-1
1.742250000E-1,2.551134342E-1,4.578384474E-1,6.838558441E-1,8.616018360E-1
1.842780000E-1,3.252651116E-1,8.976981685E-1,1.097314217E0,1.454564500E0
1.943310000E-1,4.900038345E-1,1.042075278E0,1.362277286E0,1.783766814E0
2.043840000E-1,3.747976063E-1,9.931849542E-1,1.479105240E0,1.820615805E0
2.144370000E-1,2.407434632E-1,9.591328168E-1,1.311935098E0,1.642883708E0
2.244910000E-1,2.909442946E-2,7.810830536E-1,1.026372288E0,1.290107475E0
2.345440000E-1,-1.030719401E-1,3.786317718E-1,8.842147815E-1,9.673787383E-1
2.445970000E-1,-1.153624950E-1,-7.010840803E-2,8.323260051E-1,8.432023914E-1
2.546500000E-1,-4.482972533E-2,-4.892964676E-1,7.461029631E-1,8.933590370E-1
2.647030000E-1,-8.849600092E-2,-7.441464847E-1,5.250150615E-1,9.150007365E-1
2.747560000E-1,1.541615483E-1,-7.240449268E-1,4.450736833E-1,8.637693109E-1
2.848090000E-1,5.623792081E-1,-6.713960123E-1,3.996115816E-1,9.626694111E-1
2.948620000E-1,6.636869701E-1,-7.084916255E-1,1.934457743E-1,9.898798135E-1
3.049150000E-1,7.179195298E-1,-7.526737717E-1,-2.889711517E-1,1.079551103E0
3.149680000E-1,8.649290563E-1,-7.917904750E-1,-7.057057196E-1,1.368595993E0
3.250210000E-1,9.854481377E-1,-8.314530158E-1,-8.610030895E-1,1.550402680E0
3.350740000E-1,1.026500196E0,-8.469832206E-1,-1.002418585E0,1.666111115E0
3.451270000E-1,7.848363814E-1,-1.072543657E0,-1.213418870E0,1.799639796E0
3.551800000E-1,2.275263438E-1,-1.089862818E0,-1.445635777E0,1.824673121E0
3.652330000E-1,-2.004188713E-1,-1.180082139E0,-1.396377078E0,1.839192900E0
3.752860000E-1,-1.000171354E0,-7.791812468E-1,-1.601442440E0,2.042568001E0
3.853390000E-1,-1.195086826E0,-2.737432480E-1,-1.585598239E0,2.004317755E0
3.953920000E-1,-1.191688716E0,-5.591715717E-1,-2.170751329E0,2.538691824E0
4.054450000E-1,-1.256777143E0,-7.440678397E-1,-2.718437215E0,3.085940153E0
4.154980000E-1,-1.196401426E0,-4.088069129E-1,-3.012051641E0,3.266642703E0
4.255510000E-1,-1.091155710E0,-3.254545614E-1,-3.009096458E0,3.217328542E0
4.356040000E-1,-1.027798424E0,-6.797201085E-1,-5.637721610E-1,1.355074934E0
4.456570000E-1,-1.213253394E0,-7.193735862E-1,7.962153554E-2,1.412735553E0
4.557100000E-1,-1.428204789E0,-3.731400669E-1,-7.668097079E-2,1.478134770E0
4.657630000E-1,-2.002602364E0,9.649104506E-2,-8.292860377E-1,2.169664048E0
4.758160000E-1,-1.771929999E0,1.067379981E-2,-1.359924951E0,2.233661954E0
4.858690000E-1,-8.978744620E-1,-4.882618028E-1,-1.369804407E0,1.709076432E0
4.959220000E-1,-3.077734584E-1,-4.692925581E-1,-1.080273092E0,1.217353671E0
5.059750000E-1,-6.982920349E-1,-3.141708970E-2,-7.109723067E-1,9.970358170E-1
5.160280000E-1,-1.438491357E0,-1.774738124E-1,-4.237295920E-1,1.510066589E0
