"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710257935176753E9,"2024-03-12 11:38:55.177 UTC-04:00"
"PAUSE",3.329348501249915E2,1.710258268149581E9,"2024-03-12 11:44:28.150 UTC-04:00"
"START",3.329348501249915E2,1.710260764523354E9,"2024-03-12 12:26:04.523 UTC-04:00"
"PAUSE",3.346544080416206E2,1.710260766242890E9,"2024-03-12 12:26:06.243 UTC-04:00"
"START",3.346544080416206E2,1.710260932316499E9,"2024-03-12 12:28:52.316 UTC-04:00"
"PAUSE",3.412096149583231E2,1.710260938871614E9,"2024-03-12 12:28:58.872 UTC-04:00"
"START",3.412096149583231E2,1.710260963951235E9,"2024-03-12 12:29:23.951 UTC-04:00"
"PAUSE",4.904288315832964E2,1.710261113168618E9,"2024-03-12 12:31:53.169 UTC-04:00"
"START",4.904288315832964E2,1.710261115540890E9,"2024-03-12 12:31:55.541 UTC-04:00"
"PAUSE",5.168931888749939E2,1.710261142004924E9,"2024-03-12 12:32:22.005 UTC-04:00"
"START",5.168931888749939E2,1.710261151227309E9,"2024-03-12 12:32:31.227 UTC-04:00"
"PAUSE",5.420401480000000E2,1.710261176373960E9,"2024-03-12 12:32:56.374 UTC-04:00"
